1494008036729	1	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	␂	␂
1494008039427	2	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	W	W
1494008041847	3	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	⌨	W
1494008043349	4	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	⌨	W
1494008043826	5	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	O	WO
1494008045310	6	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	X	WOX
1494008046615	7	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	E	WOXE
1494008047795	8	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	P	WOXEP
1494008049346	9	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	K	WOXEPK
1494008051171	10	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	L	WOXEPKL
1494008052376	11	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	I	WOXEPKLI
1494008055736	12	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	F	WOXEPKLIF
1494008058593	13	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	M	WOXEPKLIFM
1494008059776	14	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	M	WOXEPKLIFMM
1494008062331	15	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	T	WOXEPKLIFMMT
1494008064778	16	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	J	WOXEPKLIFMMTJ
1494008065963	17	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	S	WOXEPKLIFMMTJS
1494008068381	18	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	B	WOXEPKLIFMMTJSB
1494008071179	19	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	R	WOXEPKLIFMMTJSBR
1494008074348	20	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	Z	WOXEPKLIFMMTJSBRZ
1494008075913	21	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	C	WOXEPKLIFMMTJSBRZC
1494008079663	22	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	C	WOXEPKLIFMMTJSBRZCC
1494008084779	23	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	Q	WOXEPKLIFMMTJSBRZCCQ
1494008086731	24	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	Y	WOXEPKLIFMMTJSBRZCCQY
1494008088226	25	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	U	WOXEPKLIFMMTJSBRZCCQYU
1494008091265	26	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	N	WOXEPKLIFMMTJSBRZCCQYUN
1494008094381	27	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	A	WOXEPKLIFMMTJSBRZCCQYUNA
1494008098668	28	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	G	WOXEPKLIFMMTJSBRZCCQYUNAG
1494008103449	29	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	D	WOXEPKLIFMMTJSBRZCCQYUNAGD
1494008107979	30	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	0	⏎	WOXEPKLIFMMTJSBRZCCQYUNAGD
1494008111979	31	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	1	O	O
1494008114695	32	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	1	U	OU
1494008115449	33	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	1	Our	Our 
1494008116563	34	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	1	S	Our S
1494008117206	35	15BD9D15C50	LG Watch Sport	KeyDialQwertyZigZag	1	U	Our SU
